,formula,Number of Atoms,Density (g cm-3),Volume (Å3),the total atomic mass (amu),Bulk modulus (GPa),Shear modulus (GPa),Sound velocity of the transverse wave (m s-1),Sound velocity of the longitude wave (m s-1),Poisson ratio,Acoustic Debye Temperature (K),Kappa_cal (W m-1 K-1)
mp-1181781,Co1O2,3,1.1345453311735785,133.09120681,90.931,24.126175860163944,2.252114370097829,1408.913382812627,4889.966979150929,0.4547347916773473,93.6743001823304,0.0663321658145521
mp-568690,Cd1Br2,3,4.9709012398464125,90.93740318,272.219,13.397777367954545,5.0516627365123865,1008.0906963081328,2012.5200399373489,0.3325230419076869,74.86339537628443,0.388618768975047
mp-1172831,Ti1Au2,3,2.1763972036107897,337.09148644,441.801,94.57802967890083,11.551842967490114,2303.862515317547,7108.676314020294,0.4413186929237484,112.18574729391956,0.956829829215782
mp-569843,Mn1Br2,3,4.154010665046054,85.84533994,214.746,8.87681214111046,5.462086456768174,1146.6885644251224,1972.3383541712972,0.2447028482066523,85.86422393115042,0.7793366210044591
mp-22965,Bi1Te1I1,3,6.368088809463809,120.86063836,463.484,6.368551577190909,4.564200353945136,846.5990843743677,1398.467976995769,0.2107586630259289,56.34572935359062,0.62184695800779
mp-570964,Zn1I2,3,5.088610540593227,104.17081151,319.217,9.599298236340871,4.201355420043859,908.6468070866964,1728.3750143135896,0.3090249594940093,64.29352587831471,0.3579935642561887
mp-1217269,Te1Se2,3,5.076122068010026,93.40362392,285.52,8.795011218174116,6.067832858083283,1093.3287693349998,1823.8551995231896,0.2195394347186696,79.37089778114769,0.946126654275994
mp-1214766,Au1C2,3,4.240385248771762,86.54153428,220.989,3.985668549583771,0.8345629082404735,443.6361031819516,1096.5163416238845,0.4021351950088669,33.81242353408731,0.0145542050161908
mp-28306,Mn1Br2,3,4.237493131105008,84.15410872,214.746,8.883877413300178,5.482109293207343,1137.4160209112847,1954.852232155813,0.244095659344911,85.7306277384043,0.7728752959242764
mp-27215,Cr1I2,3,4.469877532687215,113.6074433,305.804,8.44584203341736,3.696654030504868,909.4034370707766,1729.794217715432,0.3090188522360477,62.51364321004299,0.3245088976060744
mp-35308,Cu1C1N1,3,2.819674476695351,52.74651332,89.564,48.39465589449264,8.937666559821718,1780.379510473759,4624.882878915832,0.4130135110131989,160.28155000166024,0.4640157372008504
mp-1018138,V1I2,3,4.844071777763517,104.47019212,304.75,10.63382842158708,4.185364707274915,929.5256297527204,1829.548867510528,0.3260295075414657,65.85314589019565,0.3257942375743462
mp-567677,Ge1I2,3,4.220681503731559,128.43715586,326.448,5.7311672697474405,2.708742668296812,801.1107948665702,1487.811108609711,0.2958464429963824,52.77427308770376,0.236647265995906
mp-22893,Pb1I2,3,5.724922934223744,133.72052281,461.008,5.596606914356316,2.489216847681199,659.3963570268004,1247.9280804272655,0.3063271958495873,42.91587303574433,0.1701675336725936
mp-28013,Mn1I2,3,4.76736368335829,107.54303899,308.746,8.734233808542749,3.635607870678183,873.2716785065153,1687.8665254284974,0.3172345573650739,61.20254688666148,0.2851770769520755
mp-632403,Cd1Cl2,3,3.48138645480875,87.43992067,183.317,9.224653981862872,1.9470157466231608,747.8398684761646,1842.6592024434387,0.401403537375384,56.79622261949402,0.0579302954054564
mp-567259,Cd1I2,3,5.221727209441259,116.46245517,366.219,6.848566243431451,4.449294072013941,923.0781384189116,1564.496585578086,0.2329888765799294,62.35404038681079,0.595922142244935
mp-2629196,Hg3,3,10.503496854361916,95.13840632,601.77,7.555767976622852,3.935915853154056,612.1473131709713,1104.0787217855277,0.2780767204916015,44.47047723693882,0.2628871730139803
mp-22883,Pb1I2,3,5.620219553993269,136.21170498,461.008,5.755449725252656,2.5403107249813086,672.3056794608178,1275.4298374426842,0.3076169275098353,43.494839779254605,0.1767083590838495
mp-1247784,Cs2Se1,3,3.2920302642113084,173.91013755,344.77,10.59616881086139,3.757337290234333,1068.3367838421536,2177.274679327199,0.3414440242493529,63.992957449885765,0.3555035103236573
mp-1272139,Sn1Br2,3,4.342568306414377,106.50398512,278.518,11.22250573786278,4.888285826141988,1060.9745507413502,2021.1854982133927,0.3098229537157562,74.52723280164962,0.4874615778225893
mp-14,Se3,3,4.495496167345277,87.50039458,236.88,6.641272799978022,5.044654035781894,1059.3192829641123,1724.391709042797,0.1969385662997664,78.40071453069477,0.813669807987121
mp-23162,Zr1Cl2,3,4.027187420871607,66.85298292,162.13,13.240819448874038,4.557425723009998,1063.7972879437168,2190.147025985745,0.3456152555917973,87.68527536248033,0.3021460589767585
mp-755333,Hg1O2,3,8.083556616595077,47.77977152,232.588,27.23890995183361,11.570480446655328,1196.394627577013,2297.4222764867877,0.3139539105760798,109.83890466447625,0.9696542132346428
mp-22885,Xe1F2,3,4.396162690983132,63.94612499,169.28900000000002,11.29277448325808,3.4804814866163585,889.7802995721919,1903.783575907981,0.3602545708083098,74.58377604577781,0.1683162996475521
mp-29196,Au1C1N1,3,6.2366669101335015,59.37209156,222.985,20.01788478221864,4.666861843122556,865.0400145468069,2051.20317243929,0.3918381190879714,74.64821366139013,0.1572760339978286
mp-546787,K1N1O2,4,1.9471204042161372,72.57905526,85.103,18.230609815995457,7.766441451530274,1997.168154068796,3831.592071325245,0.3134808727568287,159.4951300012864,0.9396349704312856
mp-1065250,S4,4,1.5803923001914224,134.76762637,128.26,0.3388189292699062,0.3242373682697825,452.9487654743948,698.526478770351,0.1372356437900117,28.853174691996937,0.0235152548818443
mp-1064300,K2C2,4,1.4439863718318042,117.55024366,102.218,20.90843084426305,6.449867042372816,2113.459032655128,4520.5388519064445,0.3601405385549258,144.6146382947619,0.6813637521648038
mp-22990,Cs1I1Cl2,4,3.772563666088169,145.57156951,330.71500000000003,10.080699907507285,3.5344170212381347,967.9225461966964,1980.2207027122968,0.3430381210686372,61.53278536582916,0.2115129119300363
mp-554310,Tl1Bi1S2,4,7.2710593203756435,109.05072827,477.493,24.592253690651283,10.637579837004646,1209.5465091039412,2309.3031229963062,0.3109756045751037,84.3094107255934,0.9074112033007944
mp-5841,Rb1Cu1C2,4,2.8175362432479822,101.9826293,173.036,41.56958849482027,10.327034318777596,1914.4897895713905,4431.806301454742,0.3852855946294406,137.8258544641615,0.7417897860046494
mp-996955,H1Au1O2,4,6.972918641836696,54.7673215,229.973,33.4310681087158,11.211218450214306,1267.9995763137986,2634.042376617491,0.349182415758969,111.75357804482356,0.6041539639484125
mp-22848,Cl4,4,2.086544883295612,112.86115739,141.812,1.2057359703895651,0.2957932598375464,376.5132560832526,875.716149630121,0.3866113577875001,26.209832251133783,0.0042626904853245
mp-22917,Cu2Br2,4,5.306304250728745,89.78373112,286.9,17.63763258364481,8.755033688806376,1284.496238726178,2350.2784804438584,0.2870440887733989,95.23911032802548,0.8590411663154349
mp-10102,K1Ag1C2,4,2.825364221735013,100.49638505,170.988,32.21787805446307,8.195439560154844,1703.1343385031,3907.767119307153,0.3827537630647488,123.16882175453384,0.5348930037504459
mp-8781,Sn2S2,4,2.674002128302651,187.26509405,301.54999999999995,31.133227413707637,8.12636368164661,1743.280422620415,3961.687573675036,0.3799367648796009,102.41158138771092,0.6873329036553725
mp-2793,Au2Se2,4,9.172644854112535,99.90537741,551.854,17.66721377666624,9.674120627763358,1026.971661540446,1825.4599462945607,0.2684722053889941,73.31441991090048,0.8692276526920246
mp-1065405,Cs1Au1C2,4,4.68826059857061,125.34895113,353.894,24.93887233259547,6.790681352536496,1203.5130504414374,2692.7101301369635,0.3751824624180266,80.77213511101424,0.3634628721419354
mp-570858,Ag2Cl2,4,5.834106554044492,81.58770509,286.642,42.918629501498,9.096979855631105,1248.7095641818114,3071.7321373737723,0.401014248410128,97.04595940569224,0.3327326501191597
mp-571555,In2Cl2,4,4.259427444929703,117.16912754,300.54200000000003,12.755661808551205,5.639134044663717,1150.6164974197416,2181.72265325429,0.3073457374725618,78.26847691143345,0.4796815394539809
mp-19128,Co2O2,4,5.374903989138894,46.30051887,149.864,167.32067364620715,23.307421248930677,2082.388502717694,6075.505977474996,0.4334415272135461,196.33053024329092,0.7642888011090122
mp-1186765,Sr1Tl2Cd1,4,8.609916143996147,117.4175004,608.797,50.54796101752645,14.178406428372757,1283.2587962053312,2840.171007767623,0.3717445663720489,87.97985631518691,0.8181709519163867
mp-726658,N2F2,4,1.060513821403709,103.36003522,66.01,2.56702669281232,0.7769464942069545,855.9283065056596,1843.1949577825856,0.3625364368317862,61.153436369950846,0.0311802371413288
mp-34857,K1N1O2,4,1.9667801807460283,71.85356086,85.103,20.172821931968144,8.061044573953472,2024.4998535131133,3965.044087461147,0.3236854303024493,162.4354790816949,0.9197410746050064
mp-30041,Rb1Bi1S2,4,5.161738741746098,115.35777482,358.578,23.245197808615856,8.97031193773613,1318.2742323525374,2611.6077589190204,0.3290411901820282,90.39436515858031,0.7513969152253592
mp-22858,Tl2I2,4,6.857768411578324,160.43932413,662.5740000000001,7.98209285362028,3.257019532406493,689.157955811916,1340.597109008892,0.320406728556973,42.28715873344597,0.169117594324134
mp-1096804,Ag2H2,4,7.757187099417236,46.6140819,217.752,70.52372870803053,12.734524512796568,1281.2657989304375,3358.60997299982,0.4148403903094678,120.22921437316182,0.3344597608285761
